,Latinsk navn,Norsk navn,Antall,Input,taxonID,scientificNameID,scientificName,scientificNameAuthorship,taxonRank,acceptedNameUsageID,acceptedNameUsage,Artsgruppe,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,higherClassification,vernacularName (nb),vernacularName (nn),dynamicProperty,gbif_id
75,Arabidopsis thaliana,vårskrinneblom,7,Arabidopsis thaliana,130542,101081,Arabidopsis thaliana,(L.) Heynh.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Brassicales,Brassicaceae,Arabidopsis,,,,Plantae Magnoliophyta Eudicots Brassicales Brassicaceae Arabidopsis,vårskrinneblom,vårskrinneblom,,3052436
76,Arabis alpina,fjellskrinneblom,7,Arabis alpina,61043,101083,Arabis alpina,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Brassicales,Brassicaceae,Arabis,,,,Plantae Magnoliophyta Eudicots Brassicales Brassicaceae Arabis,fjellskrinneblom,fjellskrinneblom,,5375020
77,Arabis hirsuta,bergskrinneblom,12,Arabis hirsuta,130549,101088,Arabis hirsuta,(L.) Scop.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Brassicales,Brassicaceae,Arabis,,,,Plantae Magnoliophyta Eudicots Brassicales Brassicaceae Arabis,bergskrinneblom,bergskrinneblom,,9202524
78,Arabis wahlenbergii,snau bergskrinneblom,2,Arabis wahlenbergii,144043,141653,Arabis wahlenbergii,Jord.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Brassicales,Brassicaceae,Arabis,,,,Plantae Magnoliophyta Eudicots Brassicales Brassicaceae Arabis,snau bergskrinneblom,snau bergskrinneblom,,5374863
79,Arctoparmelia centrifuga,stor gulkrinslav,3,Arctoparmelia centrifuga,47450,71477,Arctoparmelia centrifuga,(L.) Hale,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Arctoparmelia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Arctoparmelia,stor gulkrinslav,,,2605301
80,Arctoparmelia incurva,liten gulkrinslav,2,Arctoparmelia incurva,47451,71478,Arctoparmelia incurva,(Pers.) Hale,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Arctoparmelia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Arctoparmelia,liten gulkrinslav,,,2605297
81,Arctophila fulva,hengegras,2,Arctophila fulva,130589,99903,Arctophila fulva,(Trin.) Andersson,species,,,Karplanter,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Arctophila,,,,Plantae Magnoliophyta Monocots Poales Poaceae Arctophila,hengegras,hengjegras,,5290140
82,Arctostaphylos uva-ursi,melbær,14,Arctostaphylos uva-ursi,144370,101771,Arctostaphylos uva-ursi,(L.) Spreng.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Ericales,Ericaceae,Arctostaphylos,,,,Plantae Magnoliophyta Eudicots Ericales Ericaceae Arctostaphylos,melbær,mjølbær,,2882580
83,Arctous alpina,rypebær,6,Arctous alpina,144372,154588,Arctous alpina,(L.) Nied.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Ericales,Ericaceae,Arctous,,,,Plantae Magnoliophyta Eudicots Ericales Ericaceae Arctous,rypebær,rypebær,,10843163
84,Arenaria humifusa,dvergarve,2,Arenaria humifusa,130613,101446,Arenaria humifusa,Wahlenb.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Arenaria,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Arenaria,dvergarve,dvergarve,,7529713
85,Arenaria norvegica,skredarve,1,Arenaria norvegica,130620,101448,Arenaria norvegica,Gunnerus,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Arenaria,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Arenaria,skredarve,skredarve,,5585088
